日期,台新銀行,合作金庫銀行,郵局,國泰世華銀行,股票當日市值
2019/1/1,"5,753","64,125",,,
2019/1/2,"5,753","64,125",,,
2019/1/3,"5,753","64,125",,,
2019/1/4,"5,753","48,125",,,
2019/1/5,"5,753","48,125",,,
2019/1/6,"5,753","48,125",,,
2019/1/7,"5,753","48,125",,,
2019/1/8,"5,753","48,125",,,
2019/1/9,"5,753","48,125",,,
2019/1/10,"5,753","48,125",,,
2019/1/11,"5,753","48,125",,,
2019/1/12,"5,753","48,125",,,
2019/1/13,"5,753","48,125",,,
2019/1/14,"5,753","48,125",,,
2019/1/15,"5,753","48,125",,,
2019/1/16,"5,753","48,125",,,
2019/1/17,"5,753","48,125",,,
2019/1/18,"5,753","48,125",,,
2019/1/19,"5,753","48,125",,,
2019/1/20,"5,753","48,125",,,
2019/1/21,"5,753","48,125",,,
2019/1/22,"5,753","48,125",,,
2019/1/23,"5,753","48,125",,,
2019/1/24,"5,753","48,125",,,
2019/1/25,"5,753","48,125",,,
2019/1/26,"5,753","48,125",,,
2019/1/27,"5,753","48,125",,,
2019/1/28,"5,753","48,125",,,
2019/1/29,"5,753","45,125",,,
2019/1/30,"5,753","45,125",,,
2019/1/31,"5,753","45,125",,,
2019/2/1,"5,753","45,125",,,
2019/2/2,"5,753","45,125",,,
2019/2/3,"5,753","45,125",,,
2019/2/4,"5,753","45,125",,,
2019/2/5,"5,753","45,125",,,
2019/2/6,"5,753","45,125",,,
2019/2/7,"5,753","45,125",,,
2019/2/8,"5,753","45,125",,,
2019/2/9,"5,753","45,125",,,
2019/2/10,"5,753","45,125",,,
2019/2/11,"5,753","45,125",,,
2019/2/12,"5,753","45,125",,,
2019/2/13,"5,753","45,125",,,
2019/2/14,"5,753","45,125",,,
2019/2/15,"5,753","45,125",,,
2019/2/16,"5,753","45,125",,,
2019/2/17,"5,753","45,125",,,
2019/2/18,"5,753","45,125",,,
2019/2/19,"5,753","45,125",,,
2019/2/20,"5,753","45,125",,,
2019/2/21,"5,753","45,125",,,
2019/2/22,"5,753","45,125",,,
2019/2/23,"5,753","45,925",,,
2019/2/24,"5,753","45,925",,,
2019/2/25,"5,753","45,925",,,
2019/2/26,"5,753","45,925",,,
2019/2/27,"5,753","45,925",,,
2019/2/28,"5,753","45,925",,,
2019/3/1,"5,753","45,925",,,
2019/3/2,"5,753","45,925",,,
2019/3/3,"5,753","45,925",,,
2019/3/4,"5,753","45,925",,,
2019/3/5,"5,753","45,925",,,
2019/3/6,"5,753","45,925",,,
2019/3/7,"5,753","45,925",,,
2019/3/8,"5,753","45,925",,,
2019/3/9,"5,753","45,925",,,
2019/3/10,"5,753","38,925",,,
2019/3/11,"5,753","38,925",,,
2019/3/12,"5,753","38,925",,,
2019/3/13,"5,753","38,925",,,
2019/3/14,"5,753","38,925",,,
2019/3/15,"5,753","38,925",,,
2019/3/16,"5,753","38,925",,,
2019/3/17,"5,753","38,925",,,
2019/3/18,"5,753","38,925",,,
2019/3/19,"5,753","36,925",,,
2019/3/20,"5,753","36,925",,,
2019/3/21,"5,753","36,925",,,
2019/3/22,"5,753","36,925",,,
2019/3/23,"5,753","36,925",,,
2019/3/24,"5,753","36,925",,,
2019/3/25,"5,753","36,925",,,
2019/3/26,"5,753","36,925",,,
2019/3/27,"5,753","36,925",,,
2019/3/28,"5,753","36,925",,,
2019/3/29,"5,753","36,925",,,
2019/3/30,"5,753","20,925",,,
2019/3/31,"5,753","20,925",,,
2019/4/1,"5,753","20,925",,,
2019/4/2,"5,753","20,925",,,
2019/4/3,"5,753","20,925",,,
2019/4/4,"5,753","20,925",,,
2019/4/5,"5,753","20,925",,,
2019/4/6,"5,753","20,925",,,
2019/4/7,"5,753","20,925",,,
2019/4/8,"5,753","20,925",,,
2019/4/9,"5,753","20,925",,,
2019/4/10,"5,753","20,925",,,
2019/4/11,"5,753","20,925",,,
2019/4/12,"5,753","20,925",,,
2019/4/13,"5,753","20,925",,,
2019/4/14,"5,753","20,925",,,
2019/4/15,"5,753","20,925",,,
2019/4/16,"5,753","20,925",,,
2019/4/17,"5,753","20,925",,,
2019/4/18,"5,753","20,925",,,
2019/4/19,"5,753","20,925",,,
2019/4/20,"5,753","20,925",,,
2019/4/21,"5,753","20,925",,,
2019/4/22,"5,753","20,925",,,
2019/4/23,"5,753","20,925",,,
2019/4/24,"5,753","20,925",,,
2019/4/25,"5,753","3,925",,,
2019/4/26,"5,753","3,925",,,
2019/4/27,"5,753","3,925",,,
2019/4/28,"5,753","3,925",,,
2019/4/29,"5,753","3,925",,,
2019/4/30,"5,753","3,925",,,
2019/5/1,"5,753","3,925",,,
2019/5/2,"5,753","3,925",,,
2019/5/3,"5,753","3,925",,,
2019/5/4,"5,753","3,925",,,
2019/5/5,"5,753","3,925",,,
2019/5/6,"5,753","3,925",,,
2019/5/7,"5,753","3,925",,,
2019/5/8,"5,753","3,925",,,
2019/5/9,"5,753","3,925",,,
2019/5/10,"5,753","3,925",,,
2019/5/11,"5,753","3,925",,,
2019/5/12,"5,753","3,925",,,
2019/5/13,"5,753","3,925",,,
2019/5/14,"5,753","3,925",,,
2019/5/15,"5,753","3,925",,,
2019/5/16,"5,753","3,925",,,
2019/5/17,"5,753","3,925",,,
2019/5/18,"5,753","3,925",,,
2019/5/19,"5,753","3,925",,,
2019/5/20,"5,753","3,925",,,
2019/5/21,"5,753","2,425",,,
2019/5/22,"5,753","2,425",,,
2019/5/23,"5,753","2,425",,,
2019/5/24,"5,753","2,425",,,
2019/5/25,"5,753","2,425",,,
2019/5/26,"5,753","2,425",,,
2019/5/27,"5,753","2,425",,,
2019/5/28,"5,753","2,425",,,
2019/5/29,"5,753","2,425",,,
2019/5/30,"5,753","2,425",,,
2019/5/31,"5,753","2,425",,,
2019/6/1,"5,753","2,425",,,
2019/6/2,"5,753","2,425",,,
2019/6/3,"5,753","2,425",,,
2019/6/4,"5,753","2,425",,,
2019/6/5,"5,753","2,425",,,
2019/6/6,"5,753",425,,,
2019/6/7,"5,753",425,,,
2019/6/8,"5,753",425,,,
2019/6/9,"5,753",425,,,
2019/6/10,"5,753",425,,,
2019/6/11,"5,753",425,,,
2019/6/12,"5,753",425,,,
2019/6/13,"5,753",425,,,
2019/6/14,"5,753",425,,,
2019/6/15,"5,753",425,,,
2019/6/16,"5,753",425,,,
2019/6/17,"5,753",425,,,
